,University Admission year,Gender,Age,H.S.C passing year,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems?,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly family income?
0,2018,Male,24,2016,12,Yes,No,3,2,Offline,Yes,Yes,5,Intermediate,90,No,No,Yes,Software Development,2,Data Science,Single,Yes,Bachelor,No,6.7,No,7.875,75,25000
1,2021,Male,22,2020,4,Yes,Yes,3,2,Online,Yes,Yes,3,Basic,96,Yes,No,No,Web development,2,Others,Single,Yes,Family,No,6.7,No,7.875,36,100000
2,2020,Female,21,2019,5,No,No,3,3,Offline,Yes,Yes,3,Intermediate,80,No,No,Yes,Programming,1,Software,Single,No,Bachelor,No,6.7,No,7.875,50,50000
3,2021,Male,20,2020,4,Yes,No,1,3,Offline,Yes,Yes,2,Intermediate,88,No,No,Yes,Programming,1,Artificial Intelligence,Single,No,Bachelor,Yes,6.7,No,7.875,36,62488
4,2021,Male,22,2019,4,Yes,No,3,1,Online,Yes,Yes,2,Intermediate,80,No,No,Yes,Programming,1,Software,Relationship,No,Bachelor,Yes,6.7,No,7.875,36,50000
5,2021,Male,20,2020,4,Yes,Yes,2,2,Offline,Yes,Yes,1,Intermediate,95,No,No,Yes,Web development,2,Software,Single,Yes,Family,No,6.7,No,7.875,36,30000
6,2021,Male,22,2018,4,Yes,No,2,4,Online,Yes,Yes,2,Intermediate,80,No,No,No,Web development,6,Software,Single,No,Bachelor,Yes,6.7,No,7.875,36,20000
7,2021,Female,22,2019,4,Yes,No,2,2,Offline,Yes,Yes,2,Basic,100,Yes,No,Yes,Web development,1,NETWORKING,Single,No,Bachelor,No,9.5,No,9.1,35,32500
8,2021,Male,20,2020,4,Yes,No,3,2,Offline,Yes,Yes,2,Intermediate,90,No,No,No,Programming,3,Software,Single,No,Bachelor,No,6.7,No,7.875,36,20000
9,2021,Female,22,2020,4,Yes,Yes,5,2,Offline,Yes,Yes,2,Intermediate,100,No,No,Yes,Programming,1,Artificial Intelligence,Single,No,Family,No,6.7,No,7.875,36,25000
10,2021,Male,22,2019,4,Yes,Yes,3,2,Online,Yes,Yes,3,Intermediate,90,No,No,Yes,Programming,1,Software,Single,Yes,Family,No,6.7,No,7.875,36,50000
11,2021,Male,22,2019,4,No,No,3,2,Offline,Yes,Yes,2,Basic,90,No,No,No,Programming,2,Software,Single,No,Bachelor,Yes,8.5,No,8.825,35,20000
12,2021,Female,22,2020,4,No,Yes,1,1,Offline,Yes,Yes,1,Basic,100,No,No,Yes,Programming,2,Software,Single,No,Family,No,6.7,No,7.875,36,50000
13,2021,Female,21,2019,4,Yes,No,3,2,Offline,Yes,Yes,1,Intermediate,90,No,No,No,Programming,1,Software,Single,No,Bachelor,No,6.7,No,7.875,36,24000
14,2021,Female,21,2018,4,No,Yes,2,2,Offline,Yes,Yes,1,Basic,97,No,No,No,Programming,2,Software,Single,No,Family,No,6.7,No,7.875,36,70000
15,2021,Male,20,2020,4,Yes,Yes,2,1,Offline,Yes,Yes,1,Basic,95,No,No,Yes,Programming,3,Software,Single,Yes,Family,No,9.825000000000001,No,9.725,35,30000
16,2021,Male,22,2019,4,Yes,Yes,5,3,Online,Yes,Yes,1,Intermediate,95,No,No,Yes,Programming,2,Machine Learning,Single,Yes,Family,No,6.7,No,7.875,36,40000
17,2021,Female,21,2020,4,Yes,No,5,1,Offline,Yes,Yes,2,Basic,97,No,No,No,Programming,2,Software,Single,No,Family,No,6.7,No,7.875,36,50000
18,2021,Male,21,2020,4,Yes,No,1,2,Online,Yes,Yes,3,Advance,70,No,No,Yes,Programming,2,Software,Relationship,No,Family,No,7.75,No,8.75,35,62488
